"Connection" "Agyneta_fuscipalpa" "Agyneta_mollis" "Agyneta_rurestris" "Agyneta_simplicitarsis" "Alopecosa_pulverulenta" "Antistea_elegans" "Arctosa_cinerea" "Arctosa_leopardus" "Arctosa_similis" "Argenna_subnigra" "Asagena_italica" "Attulus_saltator" "Aulonia_albimana" "Cozyptila_blackwalli" "Drassodes_lapidosus" "Drassyllus_praeficus" "Drassyllus_pusillus" "Enoplognatha_thoracica" "Erigone_autumnalis" "Erigone_dentipalpis" "Gnathonarium_dentatum" "Haplodrassus_dalmatensis" "Heliophanus_flavipes" "Hogna_radiata" "Mermessus_trilobatus" "Micaria_albovittata" "Micaria_coarctata" "Micaria_formicaria" "Micaria_pulicaria" "Microlinyphia_pusilla" "Nurscia_albomaculata" "Oecobius_cellariorum" "Ozyptila_simplex" "Pachygnatha_degeeri" "Pardosa_agrestis" "Pardosa_hortensis" "Pardosa_mixta" "Pardosa_palustris" "Pardosa_prativaga" "Pardosa_proxima" "Pardosa_tenuipes" "Pardosa_vittata" "Pelecopsis_parallela" "Phlegra_fasciata" "Phrurolithus_festivus" "Pisaura_mirabilis" "Prinerigone_vagans" "Talavera_aequipes" "Tegenariahasperi" "Tenuiphantes_tenuis" "Thanatus_arenarius" "Titanoeca_tristis" "Tmarus_staintoni" "Trichoncus_affinis" "Trichopterna_cito" "Trochosa_hispanica" "Trochosa_ruricola" "Xerolycosa_nemoralis" "Xysticus_kochi" "Zelotes_atrocaeruleus" "Zelotes_electus" "Zelotes_hermani" "Zelotes_longipes" "Zelotes_tenuis" "Zodarion_rubidum" "Zora_spinimana"
"S15_20170627" "Isolated" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"C02_20170627" "Connected" 0 0 0 0 0 0 0 0 0 1 3 0 0 2 0 0 0 0 0 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 29 0 0 0 1 1 0 0 0 0 0 14 0 0 0 0 0 1 6 0 1 0 0 1 0 0 0
"C03_20170627" "Connected" 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"C04_20170627" "Connected" 1 0 0 0 0 0 0 0 0 0 16 0 0 2 0 0 0 0 1 0 0 0 0 8 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 46 12 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 7 2 0 0 0 0 0 0 0
"C06_20170627" "Connected" 0 0 1 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 0 0 0 13 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0
"C07_20170627" "Connected" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0
"C08_20170627" "Connected" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 6 0 0 0 0 0 22 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0
"C09_20170627" "Connected" 0 0 0 0 3 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 6 0 1 0 0 0 2 0 0 2 0 0 0 0 21 0
"C10_20170627" "Connected" 1 0 2 0 0 0 0 32 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 13 2 0 0 14 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 12 16 0 0 0 0 0 0 0 0
"C12_20170627" "Connected" 1 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0 0 0 0
"C13_20170627" "Connected" 1 0 1 0 0 0 0 0 0 1 29 0 0 0 0 0 0 0 7 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"C14_20170627" "Connected" 4 0 2 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S01_201706061" "Connected" 0 0 0 0 0 0 0 0 0 1 13 0 0 6 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S02_201706061" "Connected" 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
"S03_201706061" "Connected" 10 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"S04_201706061" "Connected" 0 0 0 0 1 0 0 0 0 0 6 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0
"S05_201706061" "Connected" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
